chrom	gene	start	end
U00096	b0189	213678	213932
U00096	b4406	213925	214125
U00096	b0190	214291	214836
U00096	b0191	214833	215255
U00096	b0192	215269	215979
U00096	b0193	216179	217003
U00096	b0194	217057	218775
U00096	b0195	218887	219594
U00096	b0196	219591	219995
U00096	b0197	220113	220928
U00096	b0198	220968	221621
U00096	b0199	221614	222645
U00096	b0200	222833	223408
U00096	b0207	229167	229970
U00096	b0208	229967	230881
U00096	b0209	231122	231922
U00096	b0210	231926	232549
U00096	b0211	232597	233955
U00096	b0212	234027	234782
U00096	b0213	234816	235538
U00096	b0214	235535	236002
U00096	b0215	236067	236798
U00096	b0217	237335	238120
U00096	b4586	238257	238736
U00096	b0219	239419	240189
U00096	b0220	240343	240816
U00096	b0221	240859	243303
U00096	b0222	243543	244121
U00096	b0223	244327	245094
U00096	b0224	245065	245805
U00096	b0225	245961	246239
U00096	b0226	246242	246502
U00096	b0227	246712	247461
U00096	b0228	247637	248134
U00096	b0231	250898	251953
U00096	b0232	252005	252298
U00096	b0233	252301	252699
U00096	b0234	252709	253161
U00096	b0237	254259	255716
U00096	b0238	255977	256435
U00096	b0239	256527	257771
U00096	b4710	257923	258426
U00096	b4709	258345	258620
U00096	b0241	259045	260100
U00096	b0242	260388	261491
U00096	b0243	261503	262756
U00096	b0245	263328	263669
U00096	b0246	263690	264007
U00096	b4504	264026	264247
U00096	b0247	264256	264732
U00096	b0248	264748	265206
U00096	b0249	265304	265543
U00096	b0250	265620	266087
U00096	b0251	266110	266553
U00096	b0252	267184	268005
U00096	b0253	268097	268960
U00096	b0254	269289	270182
U00096	b0256	270603	271754
U00096	b0258	272847	273992
U00096	b0259	274101	275117
U00096	b0260	275325	276728
U00096	b0261	276715	277647
U00096	b0262	277756	278802
U00096	b0264	279178	279681
U00096	b0265	279600	279875
U00096	b0266	280385	280735
U00096	b0267	280829	281983
U00096	b0268	282278	283186
U00096	b0269	283201	285168
U00096	b0270	285395	286777
U00096	b0271	286789	288399
U00096	b0272	288404	289162
U00096	b0273	289301	290305
U00096	b4688	290510	290638
U00096	b0274	290649	291152
U00096	b0275	291071	291346
U00096	b0276	291500	292231
U00096	b0277	292322	292948
U00096	b0278	293220	293918
U00096	b0279	293945	294799
U00096	b4729	294918	295142
U00096	b0280	295139	295579
U00096	b0281	295696	297096
U00096	b0282	297381	297791
U00096	b0283	297770	298726
U00096	b0284	298736	300934
U00096	b0285	300931	301887
U00096	b0286	301884	302573
U00096	b0287	302991	303605
U00096	b0288	303853	304182
U00096	b0289	304495	305205
U00096	b0290	305174	306817
U00096	b0291	306807	309332
U00096	b0292	309358	310026
U00096	b0293	310084	310671
U00096	b0294	310746	311336
U00096	b0295	312112	312339
U00096	b4506	312374	312514
U00096	b0296	312514	312777
U00096	b4671	313141	313242
U00096	b0298	315291	315590
U00096	b0299	315587	316453
U00096	b0301	317726	318319
U00096	b0303	318331	318567
U00096	b0304	318676	320001
U00096	b0305	320227	321081
U00096	b0306	321608	322327
U00096	b0307	322338	323765
U00096	b0308	323758	324453
U00096	b0310	324696	325364
U00096	b0311	325577	327247
U00096	b0312	327261	328733
U00096	b0313	328747	329334
U00096	b0314	329463	331496
U00096	b4730	331802	331876
U00096	b0315	332371	333459
U00096	b0316	333501	334433
U00096	b0317	334525	335022
U00096	b0318	335280	335885
U00096	b0319	335925	336788
U00096	b0320	336778	338325
U00096	b0321	338325	339743
U00096	b0322	339793	340089
U00096	b0323	340165	341115
U00096	b0324	341125	342507
U00096	b0325	342884	343933
U00096	b0326	344176	344991
U00096	b0327	345404	345649
U00096	b0328	345666	346337
U00096	b0329	346484	346759
U00096	b0330	346857	348443
U00096	b0331	348682	349572
U00096	b0333	350012	351181
U00096	b0334	351215	352666
U00096	b0335	352706	354592
U00096	b0336	354922	356181
U00096	b0337	356171	357454
U00096	b0338	357791	358690
U00096	b0339	358799	359458
U00096	b0340	359489	359959
U00096	b0341	359992	361146
U00096	b0342	361249	361860
U00096	b0343	361926	363179
U00096	b0344	363231	366305
U00096	b0345	366428	367510
U00096	b0346	367587	368420
U00096	b0347	368611	370275
U00096	b0348	370277	371221
U00096	b0349	371239	372105
U00096	b0350	372115	372924
U00096	b0351	372921	373871
U00096	b0352	373868	374881
U00096	b0353	375459	376670
U00096	b0354	376772	377311
U00096	b0355	377535	378368
U00096	b0356	378462	379571
U00096	b0357	379606	379881
U00096	b0358	380069	380842
U00096	b0360	381351	381716
U00096	b0361	381674	382579
U00096	b0363	382739	383935
U00096	b4731	383960	384079
U00096	b0364	384059	384616
U00096	b0365	385232	386194
U00096	b0366	386207	386974
U00096	b0367	386971	387798
U00096	b0368	387795	388646
U00096	b0369	388753	389727
U00096	b0372	391739	392605
U00096	b0373	392602	392901
U00096	b0375	394506	395129
U00096	b0376	395130	396287
U00096	b0377	396639	397859
U00096	b0378	397872	398966
U00096	b0379	399025	399333
U00096	b0380	399593	399805
U00096	b0381	399829	400923
U00096	b0382	401386	401646
U00096	b0383	401747	403162
U00096	b0384	403281	403601
U00096	b0385	403703	404818
U00096	b0386	404835	405644
U00096	b0387	405764	406222
U00096	b0388	406405	406929
U00096	b0389	406979	407170
U00096	b0390	407428	408105
U00096	b0391	408177	408461
U00096	b4732	408947	409030
U00096	b0393	409108	410019
U00096	b0394	410144	411052
U00096	b0396	411297	412481
U00096	b0397	412607	415753
U00096	b0398	415750	416952
U00096	b0399	417142	417831
U00096	b0400	417889	419184
U00096	b0401	419591	420910
U00096	b0402	420986	422359
U00096	b0403	422518	424332
U00096	b0404	424337	424918
U00096	b0405	425011	426081
U00096	b0406	426137	427264
U00096	b0407	427287	427619
U00096	b0408	427647	429494
U00096	b0409	429505	430476
U00096	b0410	430605	430952
U00096	b0411	431129	432013
U00096	b0412	432312	432851
U00096	b0413	433002	433451
U00096	b0414	433455	434558
U00096	b0415	434647	435117
U00096	b0416	435137	435556
U00096	b0417	435634	436611
U00096	b0418	436589	437107
U00096	b0419	437161	438135
U00096	b0420	438315	440177
U00096	b0421	440202	441101
U00096	b0422	441101	441343
U00096	b0423	441549	442997
U00096	b0424	443051	443641
U00096	b0425	443604	444515
U00096	b0426	444683	445174
U00096	b0427	445302	446666
U00096	b0428	446815	447705
U00096	b0429	447717	448046
U00096	b0430	448046	448660
U00096	b0431	448650	450641
U00096	b0432	450663	451610
U00096	b0433	452070	453545
U00096	b0434	453589	454167
U00096	b0435	454472	454789
U00096	b0436	455133	456431
U00096	b0437	456677	457300
U00096	b0438	457426	458700
U00096	b0439	458888	461242
U00096	b0440	461451	461723
U00096	b0441	461915	463786
U00096	b0442	463937	464308
U00096	b0443	464402	464800
U00096	b0444	464852	465547
U00096	b0445	465612	467312
U00096	b0446	467412	468230
U00096	b0447	468383	468841
U00096	b0448	468871	470643
U00096	b0449	470636	472417
U00096	b0450	472598	472936
U00096	b0451	472966	474252
U00096	b0452	474301	475161
U00096	b0453	475379	475951
U00096	b0454	475982	476371
U00096	b0456	476672	477025
U00096	b0457	477067	478617
U00096	b0458	478781	479251
U00096	b0459	479367	479918
U00096	b0460	480090	480308
U00096	b0461	480334	480708
U00096	b0462	481254	484403
U00096	b0463	484426	485619
U00096	b0464	485761	486408
U00096	b0465	486536	489898
U00096	b0466	490110	490271
U00096	b0467	490285	490812
U00096	b0468	490882	491259
U00096	b0469	491412	491963
U00096	b0470	492092	494023
U00096	b0471	494076	494405
U00096	b0472	494405	495010
U00096	b0473	495120	496994
U00096	b0474	497175	497819
U00096	b0475	498055	499017
U00096	b0476	499014	499973
U00096	b0477	500125	501429
U00096	b0478	501562	503238
U00096	b0479	503476	504696
U00096	b0480	504914	506566
U00096	b0481	506603	507082
U00096	b0482	507286	508080
U00096	b0483	508218	508559
U00096	b0484	508875	511379
U00096	b0485	511641	512573
U00096	b0486	512576	513868
U00096	b0487	513993	514400
U00096	b0488	514401	514859
U00096	b0489	514856	515773
U00096	b0490	515919	516596
U00096	b0491	516583	517362
U00096	b0492	517425	518279
U00096	b0493	518340	519149
U00096	b0494	519139	519765
U00096	b0495	519733	520419
U00096	b0496	520416	522830
U00096	b0497	523261	527541
U00096	b0498	527581	527949
U00096	b0502	529645	530016
U00096	b0503	530132	531226
U00096	b0504	531295	532221
U00096	b0505	532451	532933
U00096	b0506	533011	533826
U00096	b0507	533916	535697
U00096	b0508	535710	536486
U00096	b0509	536586	537464
U00096	b0511	537633	539087
U00096	b0512	539147	540508
U00096	b0513	540565	541866
U00096	b0514	541888	543033
U00096	b0515	543261	544046
U00096	b0516	544057	545292
U00096	b0517	545314	546363
U00096	b0518	546680	548347
U00096	b4572	548357	549616
U00096	b0520	549627	550442
U00096	b0521	550439	551332
U00096	b0522	551527	552594
U00096	b0523	552591	553100
U00096	b0524	553218	553940
U00096	b0525	553943	554437
U00096	b0526	554611	555996
U00096	b0527	556032	556553
U00096	b0528	556661	556873
U00096	b0529	556875	557741
U00096	b0530	558212	558754
U00096	b0531	558974	559666
U00096	b0532	559697	562300
U00096	b0533	562336	563319
U00096	b0534	563330	563845
U00096	b0535	563848	564480
U00096	b0537	564815	565978
U00096	b0540	566842	567141
U00096	b0541	567138	568004
U00096	b0543	568315	568647
U00096	b4733	568695	568844
U00096	b0544	568902	570428
U00096	b0545	570893	571444
U00096	b0546	571454	572251
U00096	b4588	572368	572469
U00096	b0547	572466	572921
U00096	b0548	572921	573091
U00096	b0549	573084	573374
U00096	b0550	573371	573733
U00096	b4509	573730	573870
U00096	b0551	573956	574339
U00096	b0552	574737	575753
U00096	b0554	577398	577613
U00096	b0555	577613	578110
U00096	b0556	578107	578568
U00096	b4510	578327	578509
U00096	b0557	578600	578893
U00096	b0558	579184	579594
U00096	b0559	579880	580086
U00096	b4589	580251	580445
U00096	b0560	580834	581379
U00096	b0561	581534	582097
U00096	b0563	582875	583060
U00096	b0564	583681	584430
U00096	b0565	584680	585633
U00096	b0566	586147	586908
U00096	b0567	587091	587981
U00096	b0568	587982	590954
U00096	b0569	590941	593178
U00096	b0570	593328	594770
U00096	b0571	594760	595443
U00096	b0572	595600	596973
U00096	b0573	597131	597463
U00096	b0574	597479	598702
U00096	b0575	598714	601857
U00096	b0576	601959	603335
U00096	b0577	603416	604663
U00096	b0578	604771	605424
U00096	b0579	605518	605886
U00096	b0580	605951	606199
U00096	b0581	606265	607383
U00096	b4415	607836	607988
U00096	b0582	608065	609177
U00096	b0583	609459	610079
U00096	b0584	610254	612494
U00096	b0585	612737	613939
U00096	b4511	613942	614160
U00096	b0586	614157	618038
U00096	b0587	618254	619387
U00096	b0588	619384	620199
U00096	b0589	620196	621188
U00096	b0590	621185	622189
U00096	b0591	622300	623550
U00096	b0592	623554	624510
U00096	b0593	624885	626060
U00096	b0594	626070	627680
U00096	b0595	627694	628551
U00096	b0596	628551	629297
U00096	b0597	629300	629713
U00096	b0598	629894	631999
U00096	b4512	632182	632379
U00096	b0599	632389	633477
U00096	b0600	633586	634746
U00096	b0601	634747	635376
U00096	b0602	635349	636569
U00096	b0603	636716	637618
U00096	b0604	637827	638573
U00096	b0605	638945	639508
U00096	b0606	639753	641318
U00096	b0607	641439	641867
U00096	b0608	642088	643326
U00096	b4734	643330	643419
U00096	b0610	643557	643967
U00096	b0611	644197	645003
U00096	b0612	645117	646580
U00096	b0613	646631	647509
U00096	b0614	647484	648035
U00096	b0615	648039	649571
U00096	b0616	649582	650490
U00096	b0617	650487	650783
U00096	b0618	650798	651856
U00096	b0619	652235	653893
U00096	b0620	653862	654542
U00096	b0621	654583	655968
U00096	b0622	656557	657117
U00096	b0623	657292	657501
U00096	b0624	657555	657938
U00096	b0627	658947	659150
U00096	b0628	659251	660216
U00096	b0629	660425	661378
U00096	b0630	661637	662278
U00096	b0631	662379	662642
U00096	b0632	662752	663963
U00096	b0633	664102	665190
U00096	b0634	665201	666313
U00096	b0635	666316	668217
U00096	b0636	668248	668715
U00096	b0637	668719	669036
U00096	b0638	669296	669907
U00096	b0639	669931	670572
U00096	b0640	670574	671605
U00096	b0641	671605	672186
U00096	b0642	672201	674783
U00096	b0643	675018	675500
U00096	b0644	675570	676547
U00096	b0645	676711	677418
U00096	b0646	677415	678842
U00096	b0647	678852	679406
U00096	b0648	679508	680215
U00096	b0649	680212	681663
U00096	b0650	681723	683393
U00096	b0651	683477	684412
U00096	b0652	684530	685255
U00096	b0653	685255	685929
U00096	b0654	685929	686669
U00096	b0655	686839	687747
U00096	b0656	687997	689013
U00096	b0657	689343	690881
U00096	b0658	690906	691784
U00096	b0659	691874	692341
U00096	b0660	692338	693378
U00096	b0661	693531	694955
U00096	b0662	695101	696276
U00096	b0674	697513	699177
U00096	b0675	699574	700326
U00096	b0676	700374	701594
U00096	b0677	701603	702751
U00096	b0678	702811	703611
U00096	b0679	703944	705890
U00096	b0680	706093	707757
U00096	b0681	708334	709740
U00096	b0682	709790	710116
U00096	b0683	710200	710646
U00096	b4637	710639	710725
U00096	b0684	710935	711465
U00096	b0685	711605	711898
U00096	b0686	712038	712802
U00096	b0687	712987	713532
U00096	b0688	713558	715198
U00096	b0689	715412	715906
U00096	b0692	716946	718265
U00096	b0693	718262	720460
U00096	b4590	720583	720840
U00096	b0694	721056	721733
U00096	b0695	721730	724414
U00096	b0696	724407	724979
U00096	b0697	724988	727036
U00096	b0698	727059	728732
U00096	b4513	728732	728821
U00096	b0699	729134	729340
U00096	b0700	729583	733776
U00096	b0702	733776	734102
U00096	b0704	735650	736219
U00096	b4514	736445	736699
U00096	b0706	738092	738853
U00096	b0707	739001	739510
U00096	b0708	739507	740925
U00096	b0709	741075	742556
U00096	b0710	742827	743570
U00096	b0711	743593	744249
U00096	b0712	744243	745175
U00096	b0713	745165	745899
U00096	b0714	745935	746726
U00096	b0715	746723	747769
U00096	b0716	747921	748982
U00096	b0717	748979	749707
U00096	b0718	749722	752169
U00096	b0719	752229	752795
U00096	b0720	753185	754468
U00096	b4735	754674	754781
U00096	b0721	755177	755566
U00096	b0722	755560	755907
U00096	b0723	755907	757673
U00096	b0724	757689	758405
U00096	b0726	758706	761507
U00096	b0727	761522	762739
U00096	b0728	763014	764180
U00096	b0729	764180	765049
U00096	b0730	765153	765875
U00096	b0731	765984	767960
U00096	b0732	767978	770611
U00096	b0733	771458	773026
U00096	b0734	773042	774181
U00096	b4515	774196	774309
U00096	b0735	774309	774602
U00096	b0736	774752	775156
U00096	b0737	775153	775845
U00096	b0738	775849	776277
U00096	b0739	776342	777607
U00096	b0740	777740	779032
U00096	b0741	779067	779588
U00096	b0742	779598	780389
U00096	b0750	782085	783128
U00096	b0751	783166	783885
U00096	b0752	783882	784823
U00096	b0753	784937	785317
U00096	b0754	785633	786685
U00096	b0755	786843	787595
U00096	b0756	787797	788837
U00096	b0757	788831	789979
U00096	b0758	789983	791029
U00096	b0759	791039	792055
U00096	b0760	792316	793788
U00096	b0761	793856	794644
U00096	b0762	794773	794922
U00096	b0763	795089	795862
U00096	b0764	795862	796551
U00096	b0765	796554	797612
U00096	b0766	797613	798431
U00096	b0767	798586	799581
U00096	b0768	799622	800575
U00096	b0769	800759	801811
U00096	b0770	801887	803320
U00096	b0771	803503	805764
U00096	b0772	805998	807281
U00096	b0773	807433	807909
U00096	b0774	807968	809257
U00096	b0775	809344	810384
U00096	b0776	810381	811535
U00096	b0777	811522	812277
U00096	b0778	812270	812947
U00096	b0779	813526	815547
U00096	b0780	815739	816647
U00096	b0781	817044	818033
U00096	b0782	818055	818567
U00096	b0783	818570	819055
U00096	b0784	819048	819293
U00096	b0785	819295	819747
U00096	b0786	819884	820588
U00096	b0787	820793	821506
U00096	b0788	821542	822498
U00096	b0789	822498	823739
U00096	b0790	823736	824497
U00096	b0791	824630	825040
U00096	b0792	825002	826108
U00096	b0793	826119	827252
U00096	b0794	827245	828981
U00096	b0795	828974	829972
U00096	b0796	829972	830643
U00096	b0797	830872	832236
U00096	b0798	832468	832950
U00096	b0799	833070	835220
U00096	b0800	835248	836210
U00096	b0801	836351	837436
U00096	b0802	837665	837925
U00096	b0803	838190	838456
U00096	b0804	838530	839207
U00096	b0805	839249	841531
U00096	b0806	841796	842056
U00096	b0807	842332	843258
U00096	b0808	843255	845480
U00096	b0809	845741	846463
U00096	b0810	846460	847119
U00096	b0811	847258	848004
U00096	b0812	848408	848911
U00096	b0813	849210	850097
U00096	b4736	850332	850397
U00096	b0814	850450	850965
U00096	b0815	851014	852597
U00096	b4705	852869	852997
U00096	b0817	853183	853650
U00096	b0818	853647	854765
U00096	b0819	854824	855744
U00096	b0820	855963	857555
U00096	b0821	857796	859061
U00096	b0822	859213	860028
U00096	b0823	860174	862606
U00096	b0824	862612	863511
U00096	b0825	863642	864304
U00096	b0826	864380	865129
U00096	b0827	865129	866364
U00096	b0828	866568	867533
U00096	b0829	867520	869391
U00096	b0830	869411	870949
U00096	b0831	870967	871887
U00096	b0832	871890	872801
U00096	b0833	872979	875327
U00096	b0834	875335	876663
U00096	b0835	876710	878035
U00096	b0836	878248	878631
U00096	b0837	878742	879857
U00096	b0838	879854	880480
U00096	b0839	880727	881929
U00096	b0840	881976	882734
U00096	b0841	882792	883388
U00096	b0842	883673	884905
U00096	b0843	884946	885230
U00096	b0844	885316	886131
U00096	b0845	886131	887339
U00096	b0846	887423	887959
U00096	b0847	888134	889819
U00096	b0848	890089	890466
U00096	b0849	890496	890753
U00096	b0850	890913	891200
U00096	b0851	891184	891906
U00096	b0852	891967	892869
U00096	b0853	892957	893433
U00096	b0854	893784	894896
U00096	b0855	894991	896124
U00096	b0856	896134	897087
U00096	b0857	897084	897929
U00096	b0858	897989	898477
U00096	b0859	898518	899645
U00096	b0860	899844	900575
U00096	b0861	900866	901534
U00096	b0862	901534	902250
U00096	b0863	902257	902988
U00096	b0864	903006	903734
U00096	b0865	903952	904467
U00096	b0866	904593	904916
U00096	b0867	904913	905743
U00096	b0868	905740	906753
U00096	b0869	906852	908282
U00096	b0870	908293	909294
U00096	b0871	909331	911049
U00096	b0872	911182	912150
U00096	b0873	912162	913814
U00096	b0874	913958	914857
U00096	b0875	915352	916047
U00096	b0876	916473	918131
U00096	b0877	918128	919120
U00096	b0878	919235	920350
U00096	b0879	920347	922293
U00096	b0880	922366	922590
U00096	b0881	922913	923233
U00096	b0882	923264	925540
U00096	b0884	926225	926443
U00096	b0885	926728	927432
U00096	b0886	927474	929195
U00096	b0887	929196	930962
U00096	b0888	931085	932050
U00096	b0889	932595	933089
U00096	b0890	933224	937213
U00096	b0891	937372	937983
U00096	b0892	937994	939337
U00096	b0893	939428	940720
U00096	b0894	940959	943403
U00096	b0895	943414	944031
U00096	b0896	944033	944896
U00096	b0897	944931	945557
U00096	b0898	945871	947019
U00096	b0899	947229	948659
U00096	b0900	948660	949568
U00096	b0901	949668	950258
U00096	b0902	950340	951080
U00096	b0903	951272	953554
U00096	b0904	953609	954466
U00096	b0905	954872	956632
U00096	b0906	956762	957454
U00096	b0907	957653	958741
U00096	b0908	958812	960095
U00096	b0909	960264	961028
U00096	b0910	961201	961884
U00096	b0911	961995	963668
U00096	b0912	963828	964112
U00096	b0913	964320	966584
U00096	b0914	966621	968369
U00096	b0915	968366	969352
U00096	b0916	969389	970621
U00096	b0917	970673	970855
U00096	b0918	970852	971598
U00096	b0919	971752	972645
U00096	b0920	972622	973401
U00096	b0921	973537	974322
U00096	b0922	974319	975641
U00096	b0923	975622	976326
U00096	b0924	976326	980786
U00096	b0925	981047	982894
U00096	b0926	983075	983623
U00096	b0927	983650	984297
U00096	b0928	984519	985709
U00096	b0929	985894	986982
U00096	b0930	987585	988985
U00096	b0931	989154	990356
U00096	b0932	990622	993234
U00096	b0933	993277	994044
U00096	b0934	994041	994832
U00096	b0935	994843	995988
U00096	b0936	995985	996944
U00096	b0937	996937	997512
U00096	b0938	997868	998407
U00096	b0939	998490	999191
U00096	b0940	999216	1001816
U00096	b0941	1001807	1002877
U00096	b0942	1002889	1003431
U00096	b0943	1003439	1003954
U00096	b0944	1003947	1004657
U00096	b0945	1004768	1005778
U00096	b0946	1005952	1006494
U00096	b0947	1006491	1007600
U00096	b0948	1007844	1009952
U00096	b0949	1009964	1011871
U00096	b0950	1012001	1013254
U00096	b0951	1013259	1014899
U00096	b0952	1014896	1015459
U00096	b0953	1015715	1015882
U00096	b0954	1015952	1016470
U00096	b0955	1016539	1018299
U00096	b0956	1018485	1018937
U00096	b0957	1019013	1020053
U00096	b0958	1020410	1020919
U00096	b0959	1021138	1021767
U00096	b0960	1021730	1023883
U00096	b0961	1023902	1024348
U00096	b0962	1024471	1026525
U00096	b0963	1026557	1027015
U00096	b0964	1027111	1027773
U00096	b0965	1027946	1028359
U00096	b0966	1028404	1028721
U00096	b0967	1028779	1029969
U00096	b0968	1030064	1030342
U00096	b0969	1030339	1030668
U00096	b0970	1030759	1031418
U00096	b0972	1032139	1033257
U00096	b0973	1033254	1035047
U00096	b0974	1035066	1035773
U00096	b0975	1035770	1036357
U00096	b0976	1036354	1036752
U00096	b0977	1036749	1037606
U00096	b0978	1037740	1039284
U00096	b0979	1039296	1040432
U00096	b4592	1040445	1040537
U00096	b0980	1040617	1041915
U00096	b0981	1042030	1044210
U00096	b0982	1044230	1044676
U00096	b0983	1044664	1045803
U00096	b0984	1045849	1047945
U00096	b0985	1047945	1048691
U00096	b0986	1048688	1049332
U00096	b0987	1049439	1049744
U00096	b4516	1049833	1050108
U00096	b0988	1050027	1050530
U00096	b0989	1050963	1051175
U00096	b0990	1051461	1051673
U00096	b4723	1051684	1051872
U00096	b0991	1051847	1052077
U00096	b4517	1052067	1052240
U00096	b0992	1052289	1053362
U00096	b0993	1053434	1056178
U00096	b0994	1056261	1057289
U00096	b0995	1057262	1057954
U00096	b0996	1058084	1059256
U00096	b0997	1059256	1061802
U00096	b0998	1061799	1062398
U00096	b0999	1062550	1062855
U00096	b1000	1062855	1063775
U00096	b1001	1064036	1065292
U00096	b1002	1065585	1066826
U00096	b1003	1066864	1067091
U00096	b1004	1067112	1067708
U00096	b4518	1068081	1068254
U00096	b1006	1068511	1069839
U00096	b1007	1069860	1070354
U00096	b1008	1070365	1070955
U00096	b1009	1070965	1071765
U00096	b1010	1071773	1072159
U00096	b1011	1072171	1072863
U00096	b1012	1072863	1074011
U00096	b1013	1074242	1074880
U00096	b1014	1074920	1078882
U00096	b4737	1079024	1079146
U00096	b1015	1079305	1080813
U00096	b1018	1082243	1083370
U00096	b1019	1083376	1084647
U00096	b1020	1084992	1086056
U00096	b1021	1086106	1086519
U00096	b1022	1086521	1087846
U00096	b1023	1087839	1089857
U00096	b1024	1089866	1092289
