2-LTR circle formation,R-HSA-164843,BANF1,HMGA1,LIG4,PSIP1,XRCC4,XRCC5,XRCC6,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-mediated degradation of cell cycle proteins,R-HSA-174143,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,BTRC,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC14A,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,CDK2,CUL1,FBXO5,FZR1,MAD2L1,NEK2,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RB1,RPS27A,SEM1,SKP1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of Cyclin B,R-HSA-174048,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,RPS27A,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of Securin,R-HSA-174154,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CDC16,CDC20,CDC23,CDC26,CDC27,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of mitotic proteins,R-HSA-176409,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,MAD2L1,NEK2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdh1 mediated degradation of Cdc20 and other APC-C-Cdh1 targeted proteins in late mitosis-early G1,R-HSA-174178,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,CDC16,CDC20,CDC23,CDC26,CDC27,FZR1,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RB1,RPS27A,SEM1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-179419,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CCNA1,CCNA2,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,MAD2L1,NEK2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,R-HSA-5649702,LIG3,NEIL1,NEIL2,OGG1,PNKP,POLB,XRCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOBEC3G mediated resistance to HIV-1 infection,R-HSA-180689,APOBEC3G,BANF1,HMGA1,PPIA,PSIP1,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMS-mediated activation,R-HSA-170984,BRAF,CRK,KIDINS220,NGF,NTRK1,RAP1A,YWHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF4 activates genes in response to endoplasmic reticulum  stress,R-HSA-380994,ASNS,ATF3,ATF4,ATF6,CCL2,CEBPB,CEBPG,CXCL8,DCP2,DDIT3,DIS3,EXOSC1,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,HERPUD1,IGFBP1,IL8,KHSRP,NFYA,NFYB,NFYC,PARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF6 -ATF6-alpha- activates chaperone genes,R-HSA-381183,ATF4,ATF6,CALR,DDIT3,HSP90B1,HSPA5,NFYA,NFYB,NFYC,XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF6 -ATF6-alpha- activates chaperones,R-HSA-381033,ATF4,ATF6,CALR,DDIT3,HSP90B1,HSPA5,MBTPS1,MBTPS2,NFYA,NFYB,NFYC,XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUF1 -hnRNP D0- binds and destabilizes mRNA,R-HSA-450408,EIF4G1,HNRNPD,HSPA1A,HSPA8,HSPB1,PABPC1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,SEM1,UBA52,UBB,UBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURKA Activation by TPX2,R-HSA-8854518,ACTR1A,AKAP9,ALMS1,AURKA,CCP110,CDK1,CDK5RAP2,CENPJ,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP43,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CKAP5,CLASP1,CNTRL,CSNK1D,CSNK1E,DCTN1,DCTN2,DCTN3,DYNC1H1,DYNC1I2,DYNLL1,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HMMR,HSP90AA1,MAPRE1,NDE1,NEDD1,NEK2,NINL,ODF2,OFD1,PAFAH1B1,PCM1,PCNT,PLK1,PLK4,PPP2R1A,PRKACA,PRKAR2B,SDCCAG8,SFI1,SSNA1,TPX2,TUBA1A,TUBA4A,TUBB,TUBB4A,TUBB4B,TUBG1,YWHAE,YWHAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIN missense mutants destabilize the destruction complex,R-HSA-5467340,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir metabolism,R-HSA-2161541,ADAL,ADH1A,GUK1,NT5C2,PCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir transmembrane transport,R-HSA-2161517,ABCB1,ABCG2,SLC22A1,SLC22A2,SLC22A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir transport and metabolism,R-HSA-2161522,ABCB1,ABCG2,ADAL,ADH1A,GUK1,NT5C2,PCK1,SLC22A1,SLC22A2,SLC22A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant regulation of mitotic G1-S transition in cancer due to RB1 defects,R-HSA-9659787,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN1C,E2F1,E2F2,E2F3,RB1,TFDP1,TFDP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant regulation of mitotic cell cycle due to RB1 defects,R-HSA-9687139,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC16,CDC23,CDC26,CDC27,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN1C,E2F1,E2F2,E2F3,FZR1,RB1,SKP2,TFDP1,TFDP2,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant regulation of mitotic exit in cancer due to RB1 defects,R-HSA-9687136,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CDC16,CDC23,CDC26,CDC27,FZR1,RB1,SKP2,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abortive elongation of HIV-1 transcript in the absence of Tat,R-HSA-167242,CTDP1,GTF2F1,GTF2F2,NCBP1,NCBP2,NELFA,NELFB,NELFCD,NELFE,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,SUPT4H1,SUPT5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine Neurotransmitter Release Cycle,R-HSA-264642,CHAT,CPLX1,PPFIA1,PPFIA2,PPFIA3,PPFIA4,RAB3A,RIMS1,SLC18A3,SLC5A7,SNAP25,STX1A,STXBP1,SYT1,TSPOAP1,UNC13B,VAMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine binding and downstream events,R-HSA-181431,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine regulates insulin secretion,R-HSA-399997,CHRM3,GNA11,GNA14,GNA15,GNAQ,MARCKS,PLCB1,PLCB2,PLCB3,PRKCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrosome Reaction and Sperm-Oocyte Membrane Binding,R-HSA-1300645,ACR,CD9,IZUMO1,IZUMO2,IZUMO3,IZUMO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NOTCH1 Transmits Signal to the Nucleus,R-HSA-2122948,ADAM10,ADAM17,APH1A,APH1B,ARRB1,ARRB2,CNTN1,DLK1,DLL1,DLL4,DNER,DTX1,DTX2,DTX4,ITCH,JAG1,JAG2,MIB1,MIB2,NCSTN,NEURL1,NEURL1B,NOTCH1,NUMB,PSEN1,PSEN2,PSENEN,RPS27A,UBA52,UBB,UBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through CDK5,R-HSA-9032845,BDNF,CDK5,CDK5R1,NTRK2,RAC1,TIAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through FRS2 and FRS3,R-HSA-9028731,BDNF,FRS2,FRS3,GRB2,HRAS,KRAS,NRAS,NTF4,NTRK2,PTPN11,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through FYN,R-HSA-9032500,BDNF,DOCK3,FYN,GRIN2B,NTRK2,RAC1,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through PI3K,R-HSA-9028335,BDNF,GAB1,GRB2,NTF4,NTRK2,PIK3CA,PIK3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through RAS,R-HSA-9026519,BDNF,GRB2,HRAS,KRAS,NRAS,NTF4,NTRK2,SHC1,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK3 signals through PI3K,R-HSA-9603381,IRS1,NTF3,NTRK3,PIK3CA,PIK3R1,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK3 signals through RAS,R-HSA-9034864,GRB2,HRAS,KRAS,NRAS,NTF3,NTRK3,SHC1,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated PKN1 stimulates transcription of AR -androgen receptor- regulated genes KLK2 and KLK3,R-HSA-5625886,AR,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ1,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC3,H2BC4,H2BC5,H2BC9,H2BS1,H2BU1,H3-3A,H3C1,H3C15,H4C1,KDM1A,KDM4C,KLK2,KLK3,NCOA2,PKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated point mutants of FGFR2,R-HSA-2033519,FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of AMPK downstream of NMDARs,R-HSA-9619483,CALM1,CAMKK2,MAPT,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of APC-C and APC-C-Cdc20 mediated degradation of mitotic proteins,R-HSA-176814,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,MAD2L1,NEK2,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S,,,,,,,,,,,,,,,,,,,,,,,
Activation of ATR in response to replication stress,R-HSA-176187,ATR,ATRIP,CDC25A,CDC25C,CDC45,CDC6,CDC7,CDK2,CHEK1,CLSPN,DBF4,HUS1,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,RAD1,RAD17,RAD9A,RAD9B,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of BAD and translocation to mitochondria,R-HSA-111447,AKT1,AKT2,AKT3,BAD,BCL2,BID,PPP3CC,PPP3R1,SFN,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of BH3-only proteins,R-HSA-114452,AKT1,AKT2,AKT3,BAD,BBC3,BCL2,BCL2L11,BID,BMF,DYNLL1,DYNLL2,E2F1,MAPK8,PMAIP1,PPP1R13B,PPP3CC,PPP3R1,SFN,TFDP1,TFDP2,TP53,TP53BP2,TP63,TP73,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of C3 and C5,R-HSA-174577,C2,C3,C4A,C4B,C5,CFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of Ca-permeable Kainate Receptor,R-HSA-451308,CALM1,DLG1,DLG3,DLG4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,NCALD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
