RL-16,STRINGv11-Community,AMER1,AMER2,AMER3,APC,ASPHD1,AXIN1,AXIN2,DIXDC1,FRAT1,GSK3B,PLA2G5,PRUNE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-17,STRINGv11-Community,AMER1,AMER2,AMER3,APC,ASPHD1,AXIN1,AXIN2,DIXDC1,PLA2G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-20,STRINGv11-Community,AC006486.1,ANKK1,APC2,DSTYK,GSK3A,MAP3K10,MAP3K20,MAP3K9,MOS,PBK,RGS1,RGS10,RGS12,RGS14,RGS16,RGS17,RGS18,RGS19,RGS2,RGS20,RGS21,RGS3,RGS4,RGS5,RGS6,RGS7,RGS8,TESK1,TESK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-21,STRINGv11-Community,AC006486.1,ANKK1,MOS,RGS19,RGS2,RGS20,RGS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-22,STRINGv11-Community,APC2,DSTYK,GSK3A,MAP3K10,MAP3K20,MAP3K9,PBK,RGS1,RGS10,RGS12,RGS14,RGS16,RGS17,RGS18,RGS21,RGS4,RGS5,RGS6,RGS7,RGS8,TESK1,TESK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-23,STRINGv11-Community,APC2,DSTYK,GSK3A,MAP3K10,MAP3K20,MAP3K9,PBK,RGS1,RGS10,RGS12,RGS14,RGS16,RGS17,RGS18,RGS21,RGS4,RGS5,RGS6,RGS7,RGS8,TESK1,TESK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-24,STRINGv11-Community,FPGT-TNNI3K,RGS11,RGS7BP,RGS9,RGS9BP,TNNI3K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-25,STRINGv11-Community,AL096870.1,AZI2,CARD6,CHUK,CLN5,ENSP00000401381,ERLEC1,FKBP5,IGF2,IKBKB,IKBKE,IRS4,MAP2K4,MAP3K11,MAP3K21,MAP3K7,MLKL,NUMBL,OS9,PPP2R3A,PPP2R3C,RIPK1,RIPK2,RIPK3,SAMSN1,SASH1,SASH3,SLC11A1,SLC11A2,TBK1,TBKBP1,TNIP3,VPS35,ZBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-26,STRINGv11-Community,CHUK,ENSP00000401381,IKBKB,MAP2K4,MAP3K11,MAP3K21,MAP3K7,PPP2R3A,PPP2R3C,SAMSN1,SASH1,SASH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-27,STRINGv11-Community,ENSP00000401381,MAP3K11,MAP3K21,PPP2R3A,SAMSN1,SASH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-30,STRINGv11-Community,AL096870.1,FKBP5,IRS4,MLKL,NUMBL,RIPK1,RIPK3,TNIP3,ZBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-33,STRINGv11-Community,CARD6,RIPK2,SLC11A1,SLC11A2,VPS35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-35,STRINGv11-Community,AGRN,ALK,ALKAL1,ALKAL2,BDNF,CHKA,DOK3,DOK4,DOK5,DOK6,DOK7,ENSP00000381182,FRS3,IGF1,INS,INS-IGF2,INSRR,LILRA1,LILRA2,LILRB5,LTK,MALRD1,MAMDC4,MST1R,MUSK,NTF3,NTF4,NTRK1,NTRK2,NTRK3,PTK7,RAI2,ROR1,ROR2,ROS1,SHC2,SHC3,SHC4,TARM1,TNFRSF1B,VEPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-36,STRINGv11-Community,DOK5,ENSP00000381182,LILRA1,LILRA2,LILRB5,NTRK1,NTRK3,PTK7,RAI2,ROR2,SHC2,SHC3,SHC4,TARM1,TNFRSF1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-38,STRINGv11-Community,LILRA1,LILRA2,LILRB5,PTK7,TARM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-41,STRINGv11-Community,ALK,ALKAL1,ALKAL2,CHKA,DOK6,FRS3,IGF1,INS,INS-IGF2,INSRR,LTK,MALRD1,MAMDC4,ROS1,VEPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-42,STRINGv11-Community,ALK,ALKAL1,ALKAL2,CHKA,FRS3,LTK,ROS1,VEPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-43,STRINGv11-Community,DOK6,IGF1,INS,INS-IGF2,INSRR,MALRD1,MAMDC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-44,STRINGv11-Community,AGRN,DOK3,DOK4,DOK7,MST1R,MUSK,ROR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-46,STRINGv11-Community,ACER3,ARAF,BLK,BMX,BRAF,C22orf15,CD4,CDC42BPA,CDC42BPB,CDC42BPG,CHKB,CIT,DMPK,FAM109A,FAM109B,FER,FES,FKBP10,FKBP11,FKBP14,FKBP1A,FKBP1B,FKBP1C,FKBP2,FKBP3,FKBP4,FKBP6,FKBP7,FKBP8,FKBP9,FUT9,HGS,INPP5E,INPP5J,INPP5K,KSR1,KSR2,LIMK1,LIMK2,LURAP1,MATK,MERTK,OCRL,PAG1,PKDCC,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCH1,PLCH2,PLCL1,PLCL2,PLCZ1,PPM1A,PPM1N,PTK6,RAF1,ROCK1,ROCK2,SHROOM2,SHROOM3,SMPDL3A,SMPDL3B,SRMS,SYNJ1,SYNJ2,TEC,TXK,WDR64,,,,,,,,,,,,,,,,,,,,,,,,,
RL-47,STRINGv11-Community,C22orf15,CD4,CDC42BPA,CDC42BPB,CDC42BPG,CHKB,CIT,HGS,LIMK1,LIMK2,LURAP1,PPM1A,PPM1N,ROCK1,ROCK2,SHROOM2,SHROOM3,WDR64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-48,STRINGv11-Community,C22orf15,CDC42BPA,CDC42BPB,LIMK1,LIMK2,LURAP1,PPM1A,PPM1N,WDR64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-49,STRINGv11-Community,CD4,CDC42BPG,CHKB,CIT,HGS,ROCK1,ROCK2,SHROOM2,SHROOM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-50,STRINGv11-Community,ACER3,BLK,BMX,FAM109A,FAM109B,FER,FES,INPP5E,INPP5J,INPP5K,MATK,OCRL,PAG1,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCH1,PLCH2,PLCZ1,PTK6,SRMS,SYNJ1,SYNJ2,TEC,TXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-51,STRINGv11-Community,ACER3,FAM109A,FAM109B,OCRL,SYNJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-52,STRINGv11-Community,BLK,BMX,FER,FES,INPP5E,INPP5J,INPP5K,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCH1,PLCH2,PLCZ1,PTK6,SRMS,SYNJ1,TEC,TXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-53,STRINGv11-Community,BLK,FER,FES,INPP5E,PLCB4,PLCD1,PLCD4,PLCE1,PLCH2,PLCZ1,SYNJ1,TXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-54,STRINGv11-Community,FES,PLCD1,PLCD4,PLCH2,SYNJ1,TXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-55,STRINGv11-Community,BLK,FER,INPP5E,PLCB4,PLCE1,PLCZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-56,STRINGv11-Community,INPP5J,PLCB1,PLCB3,PLCD3,PTK6,SRMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-57,STRINGv11-Community,BMX,INPP5K,PLCB2,PLCH1,TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-59,STRINGv11-Community,DMPK,FKBP10,FKBP11,FKBP14,FKBP1A,FKBP1B,FKBP2,FKBP4,FKBP7,FKBP9,FUT9,MERTK,PKDCC,SMPDL3A,SMPDL3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-60,STRINGv11-Community,FKBP10,FKBP11,FKBP14,FKBP7,FKBP9,FUT9,MERTK,SMPDL3A,SMPDL3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-61,STRINGv11-Community,DMPK,FKBP1A,FKBP1B,FKBP2,FKBP4,PKDCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-62,STRINGv11-Community,ARAF,BRAF,FKBP1C,FKBP3,FKBP6,FKBP8,KSR1,KSR2,PLCL1,PLCL2,RAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-63,STRINGv11-Community,ARAF,BRAF,FKBP1C,FKBP3,KSR1,KSR2,PLCL1,PLCL2,RAF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-65,STRINGv11-Community,ALG1,ALG11,ALG1L,ALG1L2,ALG2,AXL,GAS6,GYG2,GYS1,GYS2,PCMTD2,PIGA,PYURF,RFT1,TMEM213,TP53RK,TYRO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-67,STRINGv11-Community,ALG1,ALG11,ALG1L,ALG1L2,ALG2,PCMTD2,RFT1,TMEM213,TP53RK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-70,STRINGv11-Community,AKT2,AKT3,AP000350.4,CCDC88A,CCDC88C,ERN1,ERN2,ESYT2,ESYT3,IL17RD,MAP3K15,MAP3K5,MAP3K6,MFSD1,MFSD3,MROH2B,NUMB,PLA2G4A,PRKCZ,SLC2A1,SLC2A11,SLC2A14,SLC2A2,SLC2A3,SLC2A4,SLC2A7,SLC2A9,SLC33A1,SLC52A3,UAP1,UAP1L1,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-71,STRINGv11-Community,AP000350.4,ERN2,MFSD1,MFSD3,MROH2B,SLC2A11,SLC2A9,SLC33A1,UAP1,UAP1L1,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-72,STRINGv11-Community,AP000350.4,ERN2,MFSD1,MFSD3,SLC2A11,SLC2A9,UAP1,UAP1L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-74,STRINGv11-Community,ESYT2,ESYT3,IL17RD,PLA2G4A,SLC2A14,SLC2A2,SLC2A3,SLC2A4,SLC2A7,SLC52A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-75,STRINGv11-Community,AKT2,AKT3,CCDC88A,CCDC88C,ERN1,MAP3K15,MAP3K5,MAP3K6,NUMB,PRKCZ,SLC2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-76,STRINGv11-Community,AKT2,AKT3,CCDC88A,CCDC88C,MAP3K15,SLC2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-80,STRINGv11-Community,ACP1,APCS,BLNK,BTK,CD19,CD2,CD244,CD247,CD28,CD300LF,CD38,CD3E,CD3G,CD5,CD58,CD6,CD79A,CD79B,CENPV,CLYBL,CRP,CTLA4,EPS8,FASLG,FCAR,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FCRLB,FYB1,FYN,GAB2,GAB3,GAREM1,GAREM2,GP6,GRAP,GRAP2,GRAPL,GRB2,HCLS1,INPP5D,ITIH2,ITK,ITPRIPL1,LAT,LAX1,LCK,LCP2,LIME1,LYN,MAP4K1,MAP4K5,MS4A2,NCR1,NEU3,NFAM1,OSCAR,PEAK3,PEAR1,PECAM1,PRAG1,PRKD1,PTPRCAP,RNF213,SCIMP,SELENOH,SH2B3,SHB,SHC1,SIT1,SKAP1,SKAP2,SLA,SLA2,SLAMF1,SLAMF6,SLK,STARD10,SULT2A1,SYK,TESPA1,TGM4,THEMIS,THEMIS2,TMEM262,TRAT1,TTYH2,VAV1,VAV2,VAV3,ZAP70,,,
RL-81,STRINGv11-Community,BTK,CD19,CD5,CD6,CD79A,CD79B,FCAR,FCER1A,FCER1G,ITIH2,MS4A2,OSCAR,PRKD1,SLA,SYK,VAV1,VAV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-83,STRINGv11-Community,BTK,FCAR,FCER1G,OSCAR,PRKD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-84,STRINGv11-Community,CD19,CD79A,CD79B,SLA,SYK,VAV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-86,STRINGv11-Community,CENPV,CTLA4,FASLG,FYB1,FYN,GAB3,HCLS1,LIME1,LYN,SCIMP,SELENOH,SKAP1,SKAP2,SLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-87,STRINGv11-Community,CENPV,GAB3,HCLS1,LIME1,LYN,SCIMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-90,STRINGv11-Community,BLNK,GAB2,GAREM1,GAREM2,GRAP,GRAP2,GRAPL,GRB2,ITK,LAT,LCP2,MAP4K1,MAP4K5,NEU3,PEAK3,PRAG1,SHB,SIT1,STARD10,TESPA1,TGM4,THEMIS,THEMIS2,TTYH2,VAV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-91,STRINGv11-Community,GAREM1,GAREM2,GRB2,NEU3,SIT1,STARD10,TESPA1,TTYH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-92,STRINGv11-Community,BLNK,GRAP2,ITK,LAT,LCP2,MAP4K1,SHB,THEMIS,THEMIS2,VAV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-93,STRINGv11-Community,GAB2,GRAP,GRAPL,MAP4K5,PEAK3,PRAG1,TGM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-94,STRINGv11-Community,CD2,CD244,CD300LF,CD58,CLYBL,INPP5D,RNF213,SLAMF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-95,STRINGv11-Community,APCS,CRP,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,GP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-96,STRINGv11-Community,ACP1,CD247,CD28,CD38,CD3E,EPS8,FCRLB,ITPRIPL1,LAX1,LCK,NCR1,NFAM1,PEAR1,PECAM1,PTPRCAP,SH2B3,SHC1,SLA2,SLAMF6,SULT2A1,TRAT1,ZAP70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-97,STRINGv11-Community,ACP1,CD247,FCRLB,NFAM1,PEAR1,SH2B3,SHC1,SLA2,ZAP70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-98,STRINGv11-Community,CD3E,EPS8,ITPRIPL1,NCR1,SULT2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-99,STRINGv11-Community,CD28,CD38,LAX1,LCK,PECAM1,PTPRCAP,SLAMF6,TRAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-102,STRINGv11-Community,BST1,CAV1,CAV2,GRB10,IGF1R,INSR,IRS1,IRS2,KIAA0319,LYZL2,MALL,S1PR1,SH2B1,SH2B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-103,STRINGv11-Community,GRB10,IGF1R,INSR,IRS1,IRS2,KIAA0319,LYZL2,SH2B1,SH2B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-104,STRINGv11-Community,BST1,CAV1,CAV2,MALL,S1PR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-105,STRINGv11-Community,CISH,CSH1,CSH2,CSHL1,EPO,EPOR,GH1,GH2,GHR,IDO1,PRL,PRLR,SOCS2,SOCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-106,STRINGv11-Community,CISH,CSHL1,EPO,EPOR,GH2,GHR,IDO1,SOCS2,SOCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-107,STRINGv11-Community,CSH1,CSH2,GH1,PRL,PRLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL-108,STRINGv11-Community,CD300A,CD300LB,CEACAM20,CUZD1,DAB1,ENSP00000410764,FCRL1,FCRL3,FCRL6,LAIR1,LILRB4,MPIG6B,MPZL1,PILRB,PTPN11,PTPN6,SIRPA,SIRPG,TNFRSF1A,TREML1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
