2-LTR circle formation,ReactomeDec2019,BANF1,HMGA1,LIG4,PSIP1,XRCC4,XRCC5,XRCC6,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Phosphoribose 1-diphosphate biosynthesis,ReactomeDec2019,PRPS1,PRPS1L1,PRPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKBH3 mediated reversal of alkylation damage,ReactomeDec2019,ALKBH3,ASCC1,ASCC2,ASCC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMER1 mutants destabilize the destruction complex,ReactomeDec2019,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK inhibits chREBP transcriptional activation activity,ReactomeDec2019,ADIPOQ,ADIPOR1,ADIPOR2,MLXIPL,PRKAA2,PRKAB2,PRKAG2,STK11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC truncation mutants are not K63 polyubiquitinated,ReactomeDec2019,APC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC truncation mutants have impaired AXIN binding,ReactomeDec2019,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-Cdc20 mediated degradation of Nek2A,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CDC16,CDC20,CDC23,CDC26,CDC27,MAD2L1,NEK2,RPS27A,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-mediated degradation of cell cycle proteins,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,BTRC,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC14A,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,CDK2,CUL1,FBXO5,FZR1,MAD2L1,NEK2,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,SKP1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of Cyclin B,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,RPS27A,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of Securin,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,CDC16,CDC20,CDC23,CDC26,CDC27,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdc20 mediated degradation of mitotic proteins,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,MAD2L1,NEK2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,
APC-C-Cdh1 mediated degradation of Cdc20 and other APC-C-Cdh1 targeted proteins in late mitosis-early G1,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,CDC16,CDC20,CDC23,CDC26,CDC27,FZR1,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SEM1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APC-Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,ReactomeDec2019,ANAPC1,ANAPC10,ANAPC11,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,BUB1B,BUB3,CCNA1,CCNA2,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,MAD2L1,NEK2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,SEM1,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,,,,,,,,,,,,,,,,,,,,,,,,,,,
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,ReactomeDec2019,LIG3,NEIL1,NEIL2,OGG1,PNKP,POLB,XRCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOBEC3G mediated resistance to HIV-1 infection,ReactomeDec2019,APOBEC3G,BANF1,HMGA1,PPIA,PSIP1,gag,gag-pol,rev,vif,vpr,vpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARL13B-mediated ciliary trafficking of INPP5E,ReactomeDec2019,ARL13B,INPP5E,PDE6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMS-mediated activation,ReactomeDec2019,BRAF,CRK,KIDINS220,NGF,NTRK1,RAP1A,YWHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF4 activates genes in response to endoplasmic reticulum  stress,ReactomeDec2019,ASNS,ATF3,ATF4,ATF6,CCL2,CEBPB,CEBPG,CXCL8,DCP2,DDIT3,DIS3,EXOSC1,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,HERPUD1,IGFBP1,IL8,KHSRP,NFYA,NFYB,NFYC,PARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF6 (ATF6-alpha) activates chaperone genes,ReactomeDec2019,ATF4,ATF6,CALR,DDIT3,HSP90B1,HSPA5,NFYA,NFYB,NFYC,XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF6 (ATF6-alpha) activates chaperones,ReactomeDec2019,ATF4,ATF6,CALR,DDIT3,HSP90B1,HSPA5,MBTPS1,MBTPS2,NFYA,NFYB,NFYC,XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP sensitive Potassium channels,ReactomeDec2019,ABCC8,ABCC9,KCNJ11,KCNJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUF1 (hnRNP D0) binds and destabilizes mRNA,ReactomeDec2019,EIF4G1,HNRNPD,HSPA1A,HSPA8,HSPB1,PABPC1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,SEM1,UBA52,UBB,UBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURKA Activation by TPX2,ReactomeDec2019,ACTR1A,AKAP9,ALMS1,AURKA,CCP110,CDK1,CDK5RAP2,CENPJ,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CKAP5,CLASP1,CNTRL,CSNK1D,CSNK1E,DCTN1,DCTN2,DCTN3,DYNC1H1,DYNC1I2,DYNLL1,FGFR1OP,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HMMR,HSP90AA1,MAPRE1,NDE1,NEDD1,NEK2,NINL,ODF2,OFD1,PAFAH1B1,PCM1,PCNT,PLK1,PLK4,PPP2R1A,PRKACA,PRKAR2B,SDCCAG8,SFI1,SSNA1,TPX2,TUBA1A,TUBA4A,TUBB,TUBB4A,TUBB4B,TUBG1,YWHAE,YWHAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIN missense mutants destabilize the destruction complex,ReactomeDec2019,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AXIN mutants destabilize the destruction complex, activating WNT signaling",ReactomeDec2019,AMER1,APC,AXIN1,CSNK1A1,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir metabolism,ReactomeDec2019,ADAL,ADH1A,GUK1,NT5C2,PCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir transmembrane transport,ReactomeDec2019,ABCB1,ABCG2,SLC22A1,SLC22A2,SLC22A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir transport and metabolism,ReactomeDec2019,ABCB1,ABCG2,ADAL,ADH1A,GUK1,NT5C2,PCK1,SLC22A1,SLC22A2,SLC22A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,ReactomeDec2019,APEX1,POLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,ReactomeDec2019,IDH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abortive elongation of HIV-1 transcript in the absence of Tat,ReactomeDec2019,CTDP1,GTF2F1,GTF2F2,NCBP1,NCBP2,NELFA,NELFB,NELFCD,NELFE,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,SUPT4H1,SUPT5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylation,ReactomeDec2019,NAT1,NAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine Neurotransmitter Release Cycle,ReactomeDec2019,CHAT,CPLX1,PPFIA1,PPFIA2,PPFIA3,PPFIA4,RAB3A,RIMS1,SLC18A3,SLC5A7,SNAP25,STX1A,STXBP1,SYT1,TSPOAP1,UNC13B,VAMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine binding and downstream events,ReactomeDec2019,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetylcholine regulates insulin secretion,ReactomeDec2019,CHRM3,GNA11,GNA14,GNA15,GNAQ,MARCKS,PLCB1,PLCB2,PLCB3,PRKCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrosome Reaction and Sperm-Oocyte Membrane Binding,ReactomeDec2019,ACR,CD9,IZUMO1,IZUMO2,IZUMO3,IZUMO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NOTCH1 Transmits Signal to the Nucleus,ReactomeDec2019,ADAM10,ADAM17,APH1A,APH1B,ARRB1,ARRB2,CNTN1,DLK1,DLL1,DLL4,DNER,DTX1,DTX2,DTX4,ITCH,JAG1,JAG2,MIB1,MIB2,NCSTN,NEURL1,NEURL1B,NOTCH1,NUMB,PSEN1,PSEN2,PSENEN,RPS27A,UBA52,UBB,UBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through CDK5,ReactomeDec2019,BDNF,CDK5,CDK5R1,NTRK2,RAC1,TIAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through FRS2 and FRS3,ReactomeDec2019,BDNF,FRS2,FRS3,GRB2,HRAS,KRAS,NRAS,NTF4,NTRK2,PTPN11,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through FYN,ReactomeDec2019,BDNF,DOCK3,FYN,GRIN2B,NTRK2,RAC1,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through PI3K,ReactomeDec2019,BDNF,GAB1,GRB2,NTF4,NTRK2,PIK3CA,PIK3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through PLCG1,ReactomeDec2019,BDNF,NTF4,NTRK2,PLCG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK2 signals through RAS,ReactomeDec2019,BDNF,GRB2,HRAS,KRAS,NRAS,NTF4,NTRK2,SHC1,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK3 signals through PI3K,ReactomeDec2019,IRS1,NTF3,NTRK3,PIK3CA,PIK3R1,SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK3 signals through PLCG1,ReactomeDec2019,NTF3,NTRK3,PLCG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated NTRK3 signals through RAS,ReactomeDec2019,GRB2,HRAS,KRAS,NRAS,NTF3,NTRK3,SHC1,SOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,ReactomeDec2019,AR,H2AFB1,H2AFJ,H2AFV,H2AFX,H2AFZ,H2BC4,H2BFS,H3-3A,H3C1,H4C1,HIST1H2AB,HIST1H2AC,HIST1H2AD,HIST1H2AJ,HIST1H2BA,HIST1H2BB,HIST1H2BD,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST2H2AA3,HIST2H2AC,HIST2H2BE,HIST2H3A,HIST3H2BB,KDM1A,KDM4C,KLK2,KLK3,NCOA2,PKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activated point mutants of FGFR2,ReactomeDec2019,FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation and oligomerization of BAK protein,ReactomeDec2019,BAK1,BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activation of AKT2,ReactomeDec2019,AKT2,PDPK1,THEM4,TRIB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
